Name of Mobile Phone,SIM,Size,OS,Chipset,CPU,Card slot,Memory,Rear Camera,Front Camera,Wifi,Bluetooth,Sensors,Battery
BQ Aquaris VS,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3100 mAh battery
BQ Aquaris U2 Lite,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz,"microSD, up to 256 GB (uses SIM 2 slot)",16GB 2GB RAM,"8 MP, f/2.0, 1.12µm, PDAF","5 MP, f/2.0, 1/5"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3100 mAh battery
BQ Aquaris U2,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1.12µm, PDAF","5 MP, f/2.0, 1/5"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3100 mAh battery
BQ Aquaris V Plus,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3400 mAh battery
BQ Aquaris V,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3100 mAh battery
BQ Aquaris X Pro,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)",Android 7.1.1 (Nougat),Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF","8 MP, f/2.0","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3100 mAh battery
BQ Aquaris X,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)",Android 7.1.1 (Nougat),Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)",32GB 3GB RAM,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF","8 MP, f/2.0","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3100 mAh battery
BQ Aquaris U Lite,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)",16GB 2GB RAM,"8 MP, f/2.0, AF","5 MP, f/2.4","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3080 mAh battery
BQ Aquaris U,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)",16GB 2GB RAM,"13 MP, f/2.2, PDAF","5 MP, f/2.4","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3080 mAh battery
BQ Aquaris U Plus,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","16GB 2GB RAM, 32GB 3GB RAM","16 MP, f/2.0, PDAF","5 MP, f/2.4","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3050 mAh battery
BQ Aquaris X5 Plus,"Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)",Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),"microSD, up to 256 GB","16GB 2GB RAM, 32GB 3GB RAM","16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF","8 MP, f/2.0, 1/4""","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3200 mAh battery
BQ Aquaris E5s,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)",Android 5.1.1 (Lollipop),Qualcomm MSM8916T Snapdragon 412 (28 nm),Quad-core 1.4 GHz Cortex-A53,microSD,16GB 2GB RAM,"13 MP, f/1.8, 1/3"", 1.12µm, AF","5 MP, f/2.2","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2850 mAh battery
BQ Aquaris X5,"Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~67.7% screen-to-body ratio)","Android 5.1 (Lollipop), upgradable to 7.0 (Nougat)",Qualcomm MSM8916T Snapdragon 412 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 32 GB","16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, AF","5 MP, f/2.0","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2900 mAh battery
BQ Aquaris M5,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~69.4% screen-to-body ratio)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 64 GB","16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, AF","5 MP, f/2.0","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3120 mAh battery
BQ Aquaris M5.5,"Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~72.8% screen-to-body ratio)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 64 GB","16GB 2GB RAM, 16GB 3GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, AF","5 MP, f/2.0","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3620 mAh battery
BQ Aquaris M4.5,"Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 55.8 cm2 (~66.7% screen-to-body ratio)",Android 5.1.1 (Lollipop),Mediatek MT6735M (28 nm),Quad-core 1.0 GHz Cortex-A53,"microSD, up to 64 GB","8GB 1GB RAM, 16GB 1GB RAM, , 16GB 2GB RAM","8 MP, f/2.0, 1/3.2"", AF","5 MP, f/2.0","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2470 mAh battery
BQ  Aquaris M10,No,"10.1 inches, 295.8 cm2 (~70.3% screen-to-body ratio)",Android 5.1 (Lollipop),Mediatek MT8163B,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,5 MP,2 MP,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Accelerometer, compass",Non-removable Li-Po 7280 mAh battery
Casio G'zOne CA-201L,Micro-SIM,"4.0 inches, 45.5 cm2 (~51.5% screen-to-body ratio)",Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,"microSD, up to 32 GB (dedicated slot)",16GB 1GB RAM,"8 MP, AF",1.3 MP,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Accelerometer, proximity, compass, thermometer, barometer",Removable Li-Ion 1800 mAh battery
Casio G'zOne Commando,Mini-SIM,"3.6 inches, 36.9 cm2 (~43.7% screen-to-body ratio)",Android 2.3 (Gingerbread),"microSD, up to 32 GB (dedicated slot), 8 GB included",1GB 512MB RAM,"5 MP, AF",No,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Accelerometer, proximity, compass, thermometer",Removable Li-Ion 1460 mAh battery
Casio G'zOne Ravine 2,Mini-SIM,"2.2 inches, 15.0 cm2 (~27.0% screen-to-body ratio)","microSD, up to 32 GB (dedicated slot)",512MB 256MB RAM,"3.15 MP, AF",No,No,"3.0, A2DP","Compass, thermometer",Removable Li-Ion 1150 mAh battery
Casio G'zOne Ravine,Mini-SIM,"2.2 inches, 15.0 cm2 (~25.8% screen-to-body ratio)",microSD (dedicated slot),512MB 192MB RAM,"3.15 MP, AF",No,No,"2.1, A2DP, EDR","Accelerometer, compass, thermometer",Removable Li-Ion 1140 mAh battery
Casio G'zOne Brigade,Mini-SIM,"2.9 inches, 23.9 cm2 (~37.8% screen-to-body ratio)","microSD, up to 16 GB (dedicated slot)","256MB (123MB user available), 192MB RAM","3.15 MP, AF",No,No,"2.1, A2DP, EDR","Accelerometer, compass, thermometer",Removable Li-Ion 1440 mAh battery
Cat S52,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.65 inches, 82.4 cm2 (~68.0% screen-to-body ratio)","Android 9.0 (Pie), planned upgrade to Android 10.0",Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),microSD,64GB 4GB RAM,"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAF",8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3100 mAh battery
Cat B35,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","2.4 inches, 17.8 cm2 (~21.5% screen-to-body ratio)",KaiOS,Qualcomm MSM8905 Snapdragon 205 (28 nm),Dual-core (2x1.3 GHz Cortex-A7),"microSD, up to 64 GB (uses shared SIM slot)",4GB 512MB RAM,2 MP,No,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE",Accelerometer,Non-removable Li-Ion 2300 mAh battery
Cat S41,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~60.5% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),"microSD, up to 256 GB",32GB 3GB RAM,"13 MP, PDAF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 5000 mAh battery
Cat S31,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)",Android 7.0 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 4000 mAh battery
Cat S61,"Single SIM (Nano-SIM) - South Africa onlyHybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~58.6% screen-to-body ratio)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)",64GB 4GB RAM,"16 MP, PDAF, FLIR thermal camera (Lepton module)",8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Accelerometer, gyro, proximity, compass, barometer, indoor air quality sensor",Non-removable Li-Ion 4500 mAh battery
Cat S60,"Single SIM (Nano-SIM) - South Africa onlyDual SIM (Nano-SIM, dual stand-by)","4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"microSD, up to 256 GB (dedicated slot)",32GB 3GB RAM,"13 MP, AF, FLIR thermal camera (Lepton module)",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Accelerometer, proximity, compass",Non-removable Li-Ion 3800 mAh battery
Cat S30,Nano-SIM,"4.5 inches, 55.8 cm2 (~54.1% screen-to-body ratio)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)",8GB 1GB RAM,"5 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery
Cat S40,Nano-SIM,"4.7 inches, 60.9 cm2 (~56.7% screen-to-body ratio)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)",16GB 1GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery
Cat B30,Dual SIM,"2.0 inches, 12.6 cm2 (~19.8% screen-to-body ratio)",Spreadtrum 7701,"microSD, up to 16 GB",2 MP,No,No,2.1,,Non-removable Li-Ion 1000 mAh battery
Cat B15 Q,"Dual SIM (Mini-SIM, dual stand-by)","4.0 inches, 45.5 cm2 (~52.4% screen-to-body ratio)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",4GB 1GB RAM,"5 MP, AF",VGA,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Accelerometer, proximity",Removable Li-Ion 2000 mAh battery
Cat S50,Micro-SIM,"4.7 inches, 60.9 cm2 (~54.7% screen-to-body ratio)",Android 4.4 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quadcore 1.2 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)",8GB 2GB RAM,"8 MP, AF",VGA,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 2630 mAh battery
Cat B15,Dual SIM,"4.0 inches, 45.5 cm2 (~52.4% screen-to-body ratio)",Android 4.1 (Jelly Bean),Mediatek MT6577 (40 nm),Dual-core 1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",4GB 512MB RAM,"5 MP, AF",VGA,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Accelerometer, proximity",Non-removable Li-Ion 2000 mAh battery
Cat B100,Mini-SIM,"2.2 inches, 15.0 cm2 (~21.8% screen-to-body ratio)",Mediatek MT6276W,411 MHz,"microSD, up to 32 GB (dedicated slot)","128MB ROM, 64MB RAM",3.15 MP,No,No,"2.0, A2DP, EDR",,Removable Li-Ion 1150 mAh battery
Cat B25,Dual SIM,"2.0 inches, 12.4 cm2 (~17.4% screen-to-body ratio)",Mediatek MT6235,208 MHz,"microSD, up to 8 GB (dedicated slot)","2 MP, AF",No,No,2.1,,Removable Li-Ion 1300 mAh battery
